snail_id	date	species	colour	Parasite	Movement	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210	215	220	225	230	235	240	245	250
CFP53	04/12/2023	flat	light	no	8	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	light	light	dark	patterned	dark	light	light	light	light	dark	light	light	light	light
CFP54	04/12/2023	flat	light	no	4	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	light	light	light	patterned	patterned	light	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark
CFP55	04/12/2023	flat	light	no	3	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	patterned	light	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned
CFP56	04/12/2023	flat	dark	no	2	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	light
CFP57	04/12/2023	flat	light	no	0	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark
CFP58	04/12/2023	flat	dark	no	1	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned
CFP59	04/12/2023	flat	light	no	0	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light
CFP60	04/12/2023	flat	dark	no	3	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	patterned	patterned	patterned	patterned	dark	patterned	patterned	patterned	patterned	patterned	patterned
CFP61	04/12/2023	flat	light	no	2	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	patterned	patterned	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light
CFP62	04/12/2023	flat	light	no	0	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark
CFP63	04/12/2023	flat	dark	no	0	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light
CFP64	04/12/2023	flat	light	no	0	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light
CFP65	04/12/2023	flat	light	no	4	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	patterned	patterned	light	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	dark	dark	dark	dark
CFP66	04/12/2023	flat	light	no	0	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned
CFP67	04/12/2023	flat	light	no	0	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned
CFP68	04/12/2023	flat	dark	no	6	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	patterned	light	patterned	patterned	patterned	dark	dark	dark	dark	dark	dark	dark	patterned	dark	dark	dark
CFP69	04/12/2023	flat	dark	no	1	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned
CFP70	04/12/2023	flat	light	no	7	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	light	dark	dark	dark	dark	patterned	light	dark	dark	dark	patterned	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark
CFP71	04/12/2023	flat	light	no	0	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark
CFP72	04/12/2023	flat	dark	no	1	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark
CFP73	04/12/2023	flat	light	no	7	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	light	dark	dark	light	dark	patterned	patterned	light	light	light	patterned	patterned	patterned	patterned	patterned	patterned	patterned
CFP74	04/12/2023	flat	light	no	15	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	patterned	patterned	light	light	light	light	dark	patterned	patterned	dark	patterned	dark	light	dark	patterned	light	patterned	patterned	light	dark	patterned
CFP75	04/12/2023	flat	dark	no	2	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	light	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark
CFP76	04/12/2023	flat	light	no	1	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light
CFP77	04/12/2023	flat	dark	no	9	patterned	dark	patterned	light	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	dark	patterned	dark	patterned	patterned	dark
CFP78	04/12/2023	flat	dark	no	6	light	light	light	dark	light	light	light	light	light	light	light	light	light	patterned	light	light	light	light	light	light	light	patterned	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light
CFP79	04/12/2023	flat	light	no	14	dark	dark	dark	patterned	dark	dark	dark	dark	dark	dark	dark	dark	dark	light	dark	dark	dark	dark	dark	dark	dark	light	dark	dark	patterned	dark	patterned	patterned	dark	patterned	patterned	patterned	patterned	dark	patterned	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark
CFP80	04/12/2023	flat	light	no	6	patterned	patterned	patterned	light	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	dark	patterned	patterned	patterned	patterned	patterned	patterned	patterned	dark	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned
CFP81	04/12/2023	flat	light	no	6	light	light	light	patterned	light	light	light	light	light	light	light	light	light	patterned	light	light	light	light	light	light	light	patterned	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light
CFP82	04/12/2023	flat	light	no	8	patterned	patterned	patterned	dark	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	dark	patterned	patterned	patterned	patterned	patterned	patterned	patterned	light	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	light	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned
CFP83	04/12/2023	flat	dark	no	6	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	patterned	dark	dark	patterned	light	light	patterned	patterned	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark
CFP84	04/12/2023	flat	dark	no	11	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	patterned	patterned	patterned	light	dark	patterned	patterned	patterned	light	patterned	patterned	dark	patterned	patterned	patterned	dark	light	light	patterned
CFP85	04/12/2023	flat	dark	no	10	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	patterned	dark	patterned	dark	light	dark	dark	dark	patterned	light	dark	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned
CFP86	04/12/2023	flat	light	no	8	dark	dark	dark	patterned	dark	dark	dark	dark	dark	dark	dark	dark	dark	patterned	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	patterned	patterned	patterned	light	patterned	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark
CFP87	04/12/2023	flat	light	no	6	patterned	patterned	patterned	light	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	light	patterned	patterned	patterned	patterned	patterned	patterned	patterned	dark	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned
CFP88	04/12/2023	flat	light	no	1	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	light	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned
CFP89	04/12/2023	flat	light	no	16	light	light	light	dark	light	light	light	light	light	light	light	light	light	dark	light	light	light	light	light	light	light	light	light	patterned	dark	patterned	patterned	dark	dark	dark	light	patterned	patterned	light	patterned	dark	dark	dark	patterned	dark	patterned	patterned	patterned	patterned	patterned
CFP90	04/12/2023	flat	light	no	6	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	light	dark	dark	dark	dark	dark	light	light	patterned	light	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark
CFP91	04/12/2023	flat	dark	no	17	dark	patterned	dark	dark	dark	dark	dark	dark	patterned	dark	dark	dark	patterned	dark	dark	dark	dark	dark	dark	dark	patterned	dark	patterned	dark	patterned	patterned	light	light	light	light	light	patterned	light	light	light	light	light	light	light	light	light	patterned	light	light	dark
CFP92	04/12/2023	flat	light	no	3	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	patterned	dark	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned	patterned
CFP93	04/12/2023	flat	dark	no	11	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	light	dark	patterned	dark	patterned	light	dark	patterned	light	patterned	light	light	light	light	light	light	light	light	light
CFP94	04/12/2023	flat	light	no	15	dark	dark	dark	patterned	dark	dark	dark	dark	dark	dark	dark	dark	dark	patterned	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	patterned	dark	dark	dark	dark	patterned	dark	light	dark	dark	dark	dark	dark	dark	patterned	light	light	light	patterned	light	dark
